method,n,n_shots,noise_type,scales,sigma_ci,e_ideal,mean,se,bias,mean_abs_error,mean_improvement,cohen_d,p_value_t,sigma_ratio,frac_worse
raw,50,4096,depolarizing,1;3;5,3.5,0.7786669865047746,0.727216796875,0.0013768061168629813,-0.051450189629774656,0.051450189629774615,,,,,
linear,50,4096,depolarizing,1;3;5,3.5,0.7786669865047746,0.7665397135416663,0.0018011531693543144,-0.012127272963108338,0.014765296069531628,0.03668489356024299,5.591396984827786,7.748094466151276e-39,1.308211190591016,0.0
richardson,50,4096,depolarizing,1;3;5,3.5,0.7786669865047746,0.7785693359375,0.0035096339518982766,-9.765056727462085e-05,0.018885058821059016,0.0325651308087156,1.9985349783549333,6.541105730431776e-19,2.5491126956167878,0.04
